CartoSanté; ; 
Référentiel géographique : France par bassin de vie / canton-ville; ; 
Code;Libellé;APL Médecins généralistes 2023
2615;Valence-1;4.3
2616;Valence-2;2.9
26165;Livron-sur-Drôme;3.1
2617;Valence-3;4.2
26176;Marsanne;2.7
2619;Vercors-Monts du Matin;3.3
26220;Nyons;3.5
26235;Pierrelatte;3.2
26301;Saint-Donat-sur-l'Herbasse;2.8
26307;Saint-Jean-en-Royans;3.6
26324;Saint-Paul-Trois-Châteaux;3.1
26325;Saint-Rambert-d'Albon;2.7
26333;Saint-Vallier;2.3
2697;Montélimar;3.5
2698;Romans-sur-Isère;4.2
2699;Valence;3.8
2701;Les Andelys;1.7
27016;Les Andelys;2.3
2705;Grand Bourgtheroulde;2.9
27051;Beaumont-le-Roger;2.9
27056;Bernay;2.5
27065;Beuzeville;3.3
2708;Conches-en-Ouche;1.8
2709;Évreux-1;2.1
2710;Évreux-2;2.4
27103;Bourg-Achard;3.1
2711;Évreux-3;2.6
27112;Breteuil;2.1
27116;Brionne;2.7
2712;Gaillon;2.7
2714;Louviers;3.6
2715;Le Neubourg;1.8
2716;Pacy-sur-Eure;2.8
27165;Conches-en-Ouche;1.5
27170;Cormeilles;2.6
2718;Pont-de-l'Arche;3.2
27198;Mesnils-sur-Iton;1.3
2720;Saint-André-de-l'Eure;1.8
2721;Val-de-Reuil;3.1
2722;Verneuil d'Avre et d'Iton;1.9
27226;Étrépagny;2.2
2723;Vernon;2.4
27246;Fleury-sur-Andelle;3.6
27275;Gaillon;2.4
27284;Gisors;1.7
27306;Guichainville;2.9
27428;Le Neubourg;2.5
27448;Pacy-sur-Eure;1.5
27467;Pont-Audemer;3
27469;Pont-de-l'Arche;4
27507;Saint-André-de-l'Eure;2.4
27679;Verneuil d'Avre et d'Iton;2.9
2799;Évreux;2.6
28007;Anet;2
2801;Anet;2.4
28015;Auneau-Bleury-Saint-Symphorien;2.2
2802;Auneau;2.3
2804;Chartres-1;2.1
2805;Chartres-2;2.6
28051;Bonneval;1.7
2806;Chartres-3;3.3
28061;Brou;2
2808;Dreux-1;1.8
28088;Châteaudun;2.8
28089;Châteauneuf-en-Thymerais;2.2
2809;Dreux-2;2.6
2810;Épernon;2.8
28103;Cloyes-les-Trois-Rivières;2.5
2811;Illiers-Combray;2.2
28116;Courville-sur-Eure;1.9
2812;Lucé;3.1
2814;Saint-Lubin-des-Joncherets;1.7
28140;Épernon;2.7
2815;Les Villages Vovéens;2.1
28196;Illiers-Combray;1.7
28199;Janville-en-Beauce;2.2
28214;La Loupe;2.8
28227;Maintenon;2.5
28279;Nogent-le-Roi;2.2
28280;Nogent-le-Rotrou;2.5
28373;Senonches;2.8
28422;Les Villages Vovéens;2.7
2898;Chartres;2.7
2899;Dreux;2.3
29004;Bannalec;3.2
29020;Briec;3.4
29024;Carhaix-Plouguer;3.2
29026;Châteaulin;3.6
29027;Châteauneuf-du-Faou;3.1
2903;Brest-3;3.7
29039;Concarneau;4.3
2904;Brest-4;4.8
29042;Crozon;4.6
29046;Douarnenez;3.9
29053;Le Faou;3.9
29058;Fouesnant;3.8
29069;Guilers;4.8
29103;Landerneau;4.5
29105;Landivisiau;3.6
2911;Fouesnant;5.1
29113;Lanmeur;3.4
2912;Guipavas;5.4
29124;Lesneven;3.7
29147;Mellac;4
29150;Moëlan-sur-Mer;3.9
29151;Morlaix;3.7
29160;Plabennec;4.1
29162;Pleyben;3.5
29174;Plonéour-Lanvern;3.6
29178;Ploudalmézeau;3.8
2918;Plabennec;5.2
2919;Plonéour-Lanvern;2.1
