code;deces_domicilies_2024;part_75_ans_plus;taux_pauvrete;revenu_median;part_sans_diplome;part_ouvriers;part_familles_monoparentales;part_moins_15_ans;taille_menage;part_locataires;part_locataires_HLM;part_suroccupation;part_residences_principales;part_appartements;part_maisons;densite_population;part_benef_ophtalmo;apl_generaliste;densite_orthophonistes;densite_generalistes;densite_infirmiers;densite_sages_femmes;part_benef_ald;densite_pharmacies;libelle
59107;108;11.2;11.3;23330.0;20.2;12.0;12.4;15.3;2.24;23.6;11.9;0.1;55.7;30.2;59.2;212.7;30.6;2.5;20.0;7.0;13.0;0.0;20.0;4.0;Bray-Dunes
59122;1031;9.9;16.7;21200.0;23.3;28.7;17.5;17.3;2.17;35.8;10.8;0.3;90.0;21.4;78.0;141.9;25.9;3.1;41.3;5.9;22.5;1.3;;4.0;Cambrai
59136;171;8.8;26.3;18550.0;29.9;25.9;20.1;19.0;2.33;36.0;7.1;0.5;85.4;13.1;86.6;97.3;17.8;3.3;14.4;3.6;14.4;0.0;17.0;4.3;Le Cateau-Cambrésis
59139;401;9.0;21.2;19670.0;27.5;32.2;18.0;19.1;2.29;33.2;8.9;0.4;89.0;13.2;86.7;205.3;21.7;3.2;26.9;4.6;16.1;1.0;;3.5;Caudry
59168;84;8.5;6.5;28200.0;13.4;12.6;11.8;18.4;2.41;22.2;6.7;0.1;93.8;11.4;88.5;310.7;32.6;3.8;45.2;9.9;17.2;8.8;14.8;2.7;Cysoing
59172;731;7.4;28.2;18010.0;28.2;27.6;20.5;21.7;2.45;44.2;26.3;0.7;90.9;12.5;87.1;549.5;23.0;4.5;46.6;7.5;15.7;0.7;18.2;3.5;Denain
59178;1701;8.7;19.9;20590.0;23.5;29.8;18.2;18.7;2.28;42.5;24.1;0.4;90.9;24.2;75.2;503.4;22.8;4.0;47.4;7.8;16.3;2.4;17.5;3.3;Douai
59183;1609;8.9;19.8;20630.0;24.7;25.5;18.7;17.9;2.17;48.0;31.3;0.3;91.6;44.4;54.3;701.8;31.1;3.6;37.7;7.1;18.7;1.5;18.2;4.0;Dunkerque
59239;34;7.8;9.0;24460.0;14.5;26.1;14.1;19.0;2.41;25.4;11.1;0.0;93.9;12.5;87.4;295.4;25.3;3.1;70.5;7.0;28.2;0.0;16.5;3.5;Flines-lez-Raches
59249;213;10.3;31.6;17390.0;31.9;24.5;25.6;19.8;2.17;48.0;23.0;0.6;88.3;21.4;77.7;220.1;20.7;3.1;10.9;3.8;12.5;3.1;19.6;2.7;Fourmies
59273;275;7.1;13.9;22060.0;23.5;24.2;15.3;18.7;2.34;38.6;23.1;0.2;88.0;15.2;83.8;246.7;30.2;2.8;36.9;5.5;11.4;1.5;16.5;3.7;Gravelines
59295;342;10.0;13.2;22290.0;22.9;23.2;15.1;17.6;2.26;34.3;10.6;0.3;93.4;20.1;79.3;225.6;32.5;3.8;56.7;8.6;14.3;4.6;17.5;3.3;Hazebrouck
