code;libelle;apl_generaliste;taux_pauvrete
43234;Saugues;0.1;19.0
43244;Tence;4.2;13.7
43268;Yssingeaux;3.3;10.5
44002;Aigrefeuille-sur-Maine;3.0;5.1
44003;Ancenis-Saint-Géréon;2.7;8.6
44015;Blain;3.0;8.4
44036;Châteaubriant;2.9;14.7
44043;Clisson;3.9;5.9
44051;Derval;2.3;12.3
44067;Guémené-Penfao;1.9;14.2
44072;Herbignac;3.1;8.5
44073;Héric;3.9;6.3
44081;Legé;2.8;8.7
44082;Ligné;2.5;5.0
44084;Le Loroux-Bottereau;3.7;6.0
44087;Machecoul-Saint-Même;2.8;9.1
44110;Nort-sur-Erdre;2.6;7.7
44113;Nozay;3.1;10.3
44120;Le Pellerin;3.3;6.1
44129;Pontchâteau;3.2;8.0
44131;Pornic;3.4;7.8
44158;Saint-Étienne-de-Montluc;2.8;5.0
44180;Vallons-de-l'Erdre;2.2;12.3
44186;Sainte-Pazanne;2.4;6.6
44188;Saint-Philbert-de-Grand-Lieu;2.9;6.2
44195;Savenay;3.4;6.2
44209;Treillières;3.2;5.0
44212;Vallet;3.4;6.2
44213;Loireauxence;2.0;10.3
45028;Beaugency;2.5;10.3
45030;Beaune-la-Rolande;1.4;12.1
45031;Bellegarde;1.3;11.6
45053;Briare;2.7;15.9
45082;Châteauneuf-sur-Loire;2.5;8.6
45085;Châtillon-Coligny;1.7;14.0
45115;Courtenay;1.3;13.7
45145;Ferrières-en-Gâtinais;1.2;10.0
45146;La Ferté-Saint-Aubin;2.5;7.2
45155;Gien;2.8;17.8
45173;Jargeau;2.9;8.0
45187;Lorris;1.6;12.3
45191;Le Malesherbois;2.2;13.1
